,index,PCW,log10PCW,log2PCW,MEblack,MEblue,MEbrown,MEcyan,MEdarkgreen,MEdarkgrey,MEdarkred,MEdarkturquoise,MEgreen,MEgrey60,MElightcyan,MElightgreen,MElightyellow,MEmagenta,MEmidnightblue,MEpink,MEpurple,MEroyalblue,MEsalmon,MEtan,MEturquoise,MEyellow,madMEblack,madMEblue,madMEbrown,madMEcyan,madMEdarkgreen,madMEdarkgrey,madMEdarkred,madMEdarkturquoise,madMEgreen,madMEgrey60,madMElightcyan,madMElightgreen,madMElightyellow,madMEmagenta,madMEmidnightblue,madMEpink,madMEpurple,madMEroyalblue,madMEsalmon,madMEtan,madMEturquoise,madMEyellow
20,median440,440.0,2.643452676,8.781359714,-0.0118261765,-0.023304168,-0.005878839,-0.0079464755,-0.047309168,0.0555898995,0.0012915475,-0.003086797,0.025738695,0.0098437515,0.0242299105,0.019635886499999998,0.00035645349999999996,0.022360830499999998,0.025251258,-0.0113583265,-0.008883874,0.0025542515,0.0127064175,0.0246767465,-0.010386297,0.0357506905,0.004106666192627824,0.002385843935790726,0.010052771027348393,0.018506955535077294,0.016824119424494653,0.011875369609988109,0.010665713732461356,0.014003851940546968,0.0038084543781212845,0.007282200008323425,0.005903603879904873,0.006354121615933413,0.009685098593341261,0.010657904444708679,0.01595222736028537,0.005928972853745541,0.015825419384066588,0.015599024159334129,0.0062957606884661114,0.009875254629013078,0.014824562057074912,0.013265246246135554
21,median590,590.0,2.770852012,9.204571143999999,-0.0172670365,-0.023656844500000003,0.00024409450000000005,-0.010294277999999999,-0.022837592000000004,-0.0011149279999999998,-0.0107544575,0.015880606999999998,0.026101144,0.016069582,0.007005161,0.0290578925,0.014159908,0.0217841645,0.035102135,-0.0222418655,-0.027074683500000002,0.016253933999999998,-0.007609781499999999,0.035655667,-0.007341720499999999,0.009963232999999998,0.003253399577777778,0.002420647746666664,0.004736656911111111,0.018740339466666665,0.016916050711111113,0.007794165848888891,0.010829650333333333,0.0054436666222222214,0.005205259653333335,0.007440076719999999,0.006353435822222223,0.006510092937777777,0.0050078335733333345,0.0067280650888888885,0.014304084746666668,0.003471264204444445,0.011391693662222223,0.012593913946666669,0.006014952217777778,0.005524535973333334,0.012515538199999999,0.0038608114933333325
22,median940,940.0,2.973127854,9.876516947,-0.004591092,-0.024955683,-0.040623256999999996,0.00034790550000000003,-0.0037079335,-0.0008416470000000001,0.012923361,-0.0473816445,0.0210807255,0.0194704595,0.030002117000000002,0.005049413500000001,-0.0076816855,-0.039970769,0.016432898,-0.0167510075,0.020114994,-0.0159655925,0.014258467,-0.0129727815,0.021266557999999998,0.0318498895,0.005217975160493826,0.0019010195308641997,0.008731049152263375,0.011940011672153635,0.008611202790123458,0.005661754962962961,0.013870691358024692,0.0157193316707819,0.003944659584362141,0.008816791790123455,0.005293501791495198,0.012059534788751715,0.010749691721536348,0.01450524928395062,0.011687910880658438,0.004122565703703704,0.0060375738655692734,0.014769257399176953,0.007041639325102879,0.015809149399176957,0.01757231190672154,0.004649916497942386
23,median790,790.0,2.8976270910000004,9.625708843,-0.012703381,-0.027988084,-0.004042764,-0.003844575,-0.013934905,0.036963661,-8.329999999999999e-05,0.012454508,0.030596765,0.020752724,0.005672174,0.032157804,0.009033672,0.02045386,0.030696472,-0.024140316,-0.020374708,0.011424823,-0.00872707,0.038573331,0.012406816,0.013917262,0.0020875281875,0.002370139585937497,0.005741017500000001,0.017492057515625,0.007863528625000001,0.007647034546875002,0.008364470390624998,0.0063441383515625,0.0031638001562499995,0.007475969968749999,0.006504931562499998,0.0060461538828125005,0.005649478359374999,0.0064551876406249995,0.018280154375,0.0044305804609375,0.00549094428125,0.0147276305,0.00728971628125,0.005680283890624999,0.01133509171875,0.0040346734062500006
24,median690,690.0,2.838849091,9.430452552,-0.0195720445,-0.025946566,-0.006346556,-0.011253102000000001,0.0123865625,-0.0031093600000000002,-0.018682957,0.0037359415,0.030959804,0.028425653000000002,0.0182105975,0.0367536775,0.021390427500000003,0.0114062405,0.036657223,-0.0248737245,-0.007091719,0.0168667015,0.003183609,0.0351111225,-0.022357849,0.016881773,0.004318283043704472,0.0027354316774193576,0.00873528595837669,0.02082060344849116,0.007323633814776275,0.006688334351716962,0.012485607513007283,0.010001048148803328,0.003930692730489072,0.008965193739854316,0.004721427038501559,0.008953694531737772,0.009163417475546302,0.011429914697190426,0.02040596833090531,0.005091082087408947,0.007698601494276794,0.017655775539021857,0.005704517394380853,0.00974845614568158,0.016247921331945886,0.004387802718002083
25,median990,990.0,2.995635195,9.951284715,-0.0179582695,-0.0268926665,-0.0047167335000000005,-0.012235652,0.017198087,0.010971429000000001,-0.013139614,0.010160576,0.036238819500000005,0.026852922,0.014640877,0.0400171845,0.017959872,0.017900841,0.034151917500000004,-0.0249779235,-0.0199399395,0.014430117500000002,-0.00019896400000000004,0.040328903,-0.018617311999999997,0.0137425415,0.0027714607301038063,0.0021523180795847753,0.0047648689550173,0.017145498138408304,0.005396357896193771,0.008781636069204153,0.013808503259515572,0.00493421817301038,0.004858642411764709,0.007149090505190312,0.00649332907266436,0.0072634759307958485,0.005070027148788928,0.00463221415916955,0.01833785493771626,0.003371373820069204,0.004478402920415225,0.013081465685121104,0.007172497750865052,0.005859641190311417,0.011822039598615918,0.003038309584775087
26,median1890,1890.0,3.276461804,10.88417052,-0.014799867,-0.02593965,-0.016510564,-0.008618103,0.0055493980000000005,0.029670235,-0.007628064,-0.003455806,0.030447516,0.010209093,0.02233042,0.020326738,0.006727472,0.0019886820000000003,0.017129148,-0.019147765,0.023633875,-0.00103478,0.012039241,0.022690601,-0.011553674,0.022933675,0.004529825063476562,0.0026147750751953124,0.008619837674804686,0.01398110069433594,0.006914621574218749,0.012908961751953121,0.011814878168457029,0.017306949674804693,0.00476723542089844,0.007221675812499998,0.009391524106445311,0.01090116351074219,0.01116193893359375,0.01559283244921875,0.01619288377587891,0.006479226208007814,0.016597187185546872,0.018386733031250005,0.012463308826660156,0.015383430104003904,0.015013726551757808,0.009397987722656247
27,median1890,1890.0,3.276461804,10.88417052,-0.014799867,-0.02593965,-0.016510564,-0.008618103,0.0055493980000000005,0.029670235,-0.007628064,-0.003455806,0.030447516,0.010209093,0.02233042,0.020326738,0.006727472,0.0019886820000000003,0.017129148,-0.019147765,0.023633875,-0.00103478,0.012039241,0.022690601,-0.011553674,0.022933675,0.004529825063476562,0.0026147750751953124,0.008619837674804686,0.01398110069433594,0.006914621574218749,0.012908961751953121,0.011814878168457029,0.017306949674804693,0.00476723542089844,0.007221675812499998,0.009391524106445311,0.01090116351074219,0.01116193893359375,0.01559283244921875,0.01619288377587891,0.006479226208007814,0.016597187185546872,0.018386733031250005,0.012463308826660156,0.015383430104003904,0.015013726551757808,0.009397987722656247
28,median1890,1890.0,3.276461804,10.88417052,-0.014799867,-0.02593965,-0.016510564,-0.008618103,0.0055493980000000005,0.029670235,-0.007628064,-0.003455806,0.030447516,0.010209093,0.02233042,0.020326738,0.006727472,0.0019886820000000003,0.017129148,-0.019147765,0.023633875,-0.00103478,0.012039241,0.022690601,-0.011553674,0.022933675,0.004529825063476562,0.0026147750751953124,0.008619837674804686,0.01398110069433594,0.006914621574218749,0.012908961751953121,0.011814878168457029,0.017306949674804693,0.00476723542089844,0.007221675812499998,0.009391524106445311,0.01090116351074219,0.01116193893359375,0.01559283244921875,0.01619288377587891,0.006479226208007814,0.016597187185546872,0.018386733031250005,0.012463308826660156,0.015383430104003904,0.015013726551757808,0.009397987722656247
29,median1890,1890.0,3.276461804,10.88417052,-0.014799867,-0.02593965,-0.016510564,-0.008618103,0.0055493980000000005,0.029670235,-0.007628064,-0.003455806,0.030447516,0.010209093,0.02233042,0.020326738,0.006727472,0.0019886820000000003,0.017129148,-0.019147765,0.023633875,-0.00103478,0.012039241,0.022690601,-0.011553674,0.022933675,0.004529825063476562,0.0026147750751953124,0.008619837674804686,0.01398110069433594,0.006914621574218749,0.012908961751953121,0.011814878168457029,0.017306949674804693,0.00476723542089844,0.007221675812499998,0.009391524106445311,0.01090116351074219,0.01116193893359375,0.01559283244921875,0.01619288377587891,0.006479226208007814,0.016597187185546872,0.018386733031250005,0.012463308826660156,0.015383430104003904,0.015013726551757808,0.009397987722656247
30,median1440,1440.0,3.158362492,10.4918531,-0.017854498,-0.025827278,0.001290213,-0.014941649,-0.012421183,0.026597261,-0.014663803,0.005013234,0.03984831,0.025352484,0.015577993,0.03842644,0.010864418,0.02819262,0.036570921,-0.018012593,-0.014935054,0.011517224,0.003227051,0.038525411,-0.023287999,0.02334516,0.0027799095000000007,0.0012873992812500001,0.00403362775,0.00515666284375,0.011987643843750001,0.01309248853125,0.0077011603125,0.006696692593750001,0.0020067340312499987,0.005041541468749999,0.005428588312499998,0.0032004940937500016,0.00613896415625,0.0054229051875,0.013626869687500001,0.0032846737187499997,0.007145092499999999,0.005419743062499999,0.005014053687500001,0.005400519312500001,0.0093717031875,0.009172120374999999
31,median1540,1540.0,3.1875207210000003,10.58871464,-0.016915513,-0.025720559,-0.011347709,-0.006237234,0.01704147,0.003534869000000001,-0.006434206,0.001549161,0.037540233,0.025058155,0.006166555,0.037926988,0.011151945,0.005462734,0.032691966,-0.022912904,-0.007294600999999999,0.007999355,-0.008147184,0.030974549,-0.006315535,0.017921506,0.0035672713911111104,0.002467885813333332,0.006091142613333334,0.018565358406666666,0.006956290091111111,0.007060535577777777,0.010373778004444443,0.007731768626666665,0.0047741098355555565,0.006877542931111114,0.006316014933333334,0.007050152880000001,0.006496794259999999,0.008760610573333334,0.019224736039999992,0.004372566986666667,0.003909282915555556,0.014143593653333335,0.006781549279999999,0.007583879986666667,0.013156516319999999,0.0038753411644444446
32,median1090,1090.0,3.0374264980000003,10.09011242,-0.011585835999999999,-0.028256497,-0.008327321,-0.0013029665000000002,-0.0266936375,0.026316397,-0.0039906275,0.010975853,0.026057585,0.0058056555000000004,0.012731802,0.0172473945,0.004573945,0.019101016999999998,0.022795649,-0.022398710000000002,-0.023632782499999998,0.006376463000000001,-0.0019592945,0.0335956885,0.0163694575,0.010862031,0.0032575576747404847,0.0026178255501730077,0.00589169430449827,0.014928478494809687,0.010339215425605536,0.011060291861591694,0.01031637040484429,0.006192665460207613,0.004443762429065745,0.006851623743944636,0.006629251930795848,0.0066575370692041535,0.006366979474048442,0.005865446553633217,0.017454888823529413,0.00399855226297578,0.010080896065743942,0.014560552955017304,0.007666308017301039,0.006847836570934256,0.015146557283737025,0.004860901425605535
33,median1390,1390.0,3.1430148,10.44086917,-0.014703568,-0.027242099,-0.013204148999999998,-0.0016172220000000002,-0.00351245,0.003080808,0.000663865,0.004622291,0.028344922,0.011003155,-0.004345541,0.01780548,0.006602116999999999,0.008474835,0.027403992,-0.024522264,0.006098419,0.006585877,-0.013753878,0.025588162,0.009106323,0.007785529,0.0036607704400000002,0.00358101732,0.005047239899999999,0.023288974719999998,0.013766941000000001,0.010586116540000001,0.01439852316,0.00845939192,0.004962231040000001,0.007345478399999998,0.00965526524,0.007722439199999998,0.00740066476,0.007978209820000002,0.01849205768,0.00615485328,0.00803100552,0.019783040919999998,0.010011347440000002,0.008512274,0.01713226664,0.00525514876
34,median1190,1190.0,3.075546961,10.21674586,-0.0150691555,-0.0262381135,-0.0102836795,-0.00776583,-3.1685000000000006e-05,0.010209322,-0.0148078005,0.002007258,0.029523564000000002,0.012914341,0.023820933000000002,0.019186609,0.008377395999999999,0.0104585295,0.023484489500000004,-0.023822416,0.006124576,0.0035082615,0.008845289,0.023197777500000002,-0.014777749,0.013277193999999999,0.003420652812672177,0.0026323020798898053,0.007282611709825527,0.016025064782369147,0.004887823570247935,0.008151995085399448,0.015972429651974287,0.013051895090909094,0.0037937810578512407,0.009142240374655648,0.007279349652892562,0.010060229706152436,0.010308125186409549,0.010353944283746556,0.019321897262626266,0.005833034382001837,0.010160172,0.01911733790909091,0.010723071702479341,0.011769354402203863,0.007684474971533519,0.006253490545454546
35,median1140,1140.0,3.056904851,10.15481811,-0.018242739,-0.025889199,-0.007202772000000001,-0.010257685499999999,0.006201231,0.0165441865,-0.0083865625,0.004763062,0.035096434999999995,0.0225652815,0.002204971,0.036036472,0.01454229,0.012774770500000001,0.0330508975,-0.022487482,0.0016230705,0.009260737500000001,-0.012924930500000001,0.034017436,-0.015716797999999997,0.01312236,0.0036088125491276417,0.002728817371900822,0.007675354089990817,0.018481784495867765,0.008477651981634528,0.010346809847566574,0.017683709909090906,0.008555395208448119,0.004930528618916436,0.007439974434343434,0.008610165276400366,0.0089814845087236,0.008417408231404959,0.009774381908172635,0.019203436416896237,0.004449788887052343,0.0053808632809917364,0.014667364152433424,0.00998474804775023,0.009517711915518824,0.012209312209366392,0.006848316141414141
36,median1840,1840.0,3.264817823,10.84549005,-0.013075920500000001,-0.0288098205,-0.018948468,-0.0064797835,-0.0011548795,0.0183237245,0.0074364485,-0.0006288464999999999,0.0279888095,0.015809641,0.0016874525,0.0241189935,0.008707557,0.0020833550000000003,0.025985848000000002,-0.026979108,0.0233899265,0.006074573999999999,-0.011903437999999999,0.026031792,0.009135801499999999,0.006851507,0.0032461437603305793,0.002699877693296602,0.006470091292929293,0.016919390289256202,0.008059951889807163,0.009497991041322314,0.014041094626262626,0.007245170559228649,0.0038923929733700653,0.006128178163452709,0.010176832838383838,0.006899903797061527,0.007133132936639119,0.007110263056014693,0.017827360031221304,0.00428783176859504,0.010640909385674935,0.01491610313498623,0.010960949939393937,0.007302074045913684,0.013602320529843896,0.0066787807768595026
37,median2040,2040.0,3.309630167,10.99435344,-0.011734995,-0.026980886,-0.020222561,-0.0009699005000000001,-0.002861128,-0.0111574735,0.009925251,-0.008844485999999999,0.028460072000000003,0.0122546425,0.014650357499999999,0.021604709,0.0007445349999999999,-0.001274641,0.024426049000000002,-0.0178581245,0.0125213115,-0.001359323,0.0010228095,0.018837680000000002,0.0133002805,0.0224644885,0.00670710177777778,0.0023556054542705988,0.011826614929705217,0.015958347306878305,0.01798179829125724,0.011047802260015118,0.016289993294532634,0.01833265761552028,0.005977896503401359,0.009073104859410428,0.01034037757294029,0.013627162434366335,0.012938917298563868,0.02014036694331065,0.017083399484504908,0.005589847689594356,0.012201265698664657,0.01793328021466364,0.01225643371075838,0.018285939479969766,0.022293121209120692,0.008655378878306879
38,median2140,2140.0,3.330413773,11.06339508,-0.016051849,-0.0274981335,-0.004622409,-0.009379576,-0.0161372585,0.0052376075,-0.0043023825,0.010859820999999999,0.030392533,0.0101900055,0.011202063,0.0236471675,0.0095089435,0.019456458000000003,0.025262573000000003,-0.0221781495,-0.009213601500000002,0.0071483075,-0.0026596115,0.033562999499999996,-0.008535878,0.0098651305,0.004810055861591695,0.002131690709342558,0.007177529176470588,0.015686568491349476,0.007166033418685121,0.0065411663737024225,0.009839762754325259,0.008413791937716263,0.005005625328719722,0.005971976103806227,0.00864471850519031,0.0068124228200692055,0.007306538352941176,0.010224300871972316,0.015008359314878891,0.0036721649238754335,0.007820299709342561,0.014093563252595157,0.008191886916955018,0.008006125221453289,0.025170833619377164,0.0035762888685121103
39,median3240,3240.0,3.51054501,11.6617781,-0.012160994500000001,-0.0281068735,-0.023674437,-0.0045332615,-0.001238096,0.0116699155,0.004341582,-0.006720317,0.026012900499999998,0.0079449815,0.013053245,0.0160122285,0.005512684,-0.0050908325,0.018847608000000002,-0.0259545975,0.036744577,-0.0027981285,-0.0026378315,0.018699018999999997,0.01479657,0.012534596500000002,0.00463239531496786,0.0024383139458218567,0.00623745654178145,0.016878981613406795,0.007133184986225895,0.011875662336088152,0.014916874099173551,0.009649124721763085,0.004227672962350779,0.0067668262093663915,0.00532361347107438,0.008396681831955919,0.008606819388429754,0.010593271796143248,0.01681769429384757,0.0034373329770431595,0.00903763422038568,0.01614873522222222,0.00625531926997245,0.009974734042240588,0.016403095296602388,0.004027106953168044
40,median3540,3540.0,3.549003262,11.78953364,-0.010074437,-0.025198348,-0.004932843,-0.003568441,-0.06655909,0.038067809,0.00584387,0.001587732,0.034650894,-0.002314508,0.014824928,0.017373816,-0.009775277,0.029193897000000007,0.019099547,-0.0032407,-0.006552369000000001,-0.00794298,0.005135321,0.028120759,0.004363388,0.033968574,0.006279515615234375,0.0014948288867187506,0.008732144804687498,0.01293962625390625,0.017086181953125005,0.009937309640625006,0.017066082484374995,0.009414411117187499,0.005592297546875,0.009099370910156248,0.004764384169921874,0.011673606929687502,0.011512804105468755,0.012067765453125,0.011617781257812501,0.004238496820312501,0.004165644003906249,0.010839176289062499,0.00573143856640625,0.012277292628906254,0.024018785636718748,0.004498841101562498
